swiggy,advantage,,
bad,zomato,,
swiggy,bad,,
swiggy,nasty,disappointed,
zomato,great,,
swiggy,great,,
swiggy,shock,,
fair,zomato,,
zomato,safe,,
swiggy,happiness,,
great,zomato,,
swiggy,good,fast,
happy,zomato,,
swiggy,easy,,
seriousness,zomato,,
zomato,advantage,,
good,zomato,,
bad,zomato,,
easy,swiggy,,
bad,swiggy,,
zomato,advantage,,
zomato,advantage,,
zomato,advantage,,
zomato,advantage,,
safe,zomato,,
easy,swiggy,,
safe,swiggy,happiness,
bad,swiggy,,
safe,zomato,,
zomato,good,safety,
great,safe,zomato,
swiggy,sadly,,
zomato,safe,,
swiggy,happiness,,
safe,swiggy,happiness,
zomato,sad,,
swiggy,bad,,
safety,sad,,
zomato,advantage,,
sensitive,safety,,
sensitive,safety,,
swiggy,pleasure,,
swiggy,bad,,
nice,great,,
zomato,emergency,,
bad,swiggy,,
swiggy,fantastic,,
safe,fast,satisfied,
wonderful,good,,
excite,swiggy,,
bad,zomato,,
safe,zomato,,
safe,zomato,,
zomato,nice,,
swiggy,strength,,
swiggy,great,,
bad,swiggy,,
zomato,safe,,
ease,zomato,,
good,bad,,
good,swiggy,,
good,swiggy,,
swiggy,safety,,
swiggy,safety,,
swiggy,safety,,
good,zomato,,
good,zomato,,
swiggy,great,,
zomato,bad,,
swiggy,advantage,,
zomato,wonderful,,
zomato,great,,
delayed,delay,,
exhaust,bad,,
shock,safety,,
swiggy,easy,,
happy,bad,swiggy,
bad,helpless,,
swiggy,safety,,
swiggy,disappointed,,
swiggy,bad,,
zomato,safety,,
great,zomato,,
convenience,swiggy,,
great,zomato,,
zomato,bad,,
safety,swiggy,,
happy,exorbitant,,
zomato,great,sensible,
bore,zomato,,
disappointed,advantage,,
zomato,safe,,
swiggy,hurt,,
swiggy,emergency,,
swiggy,sad,,
careful,swiggy,,
bad,swiggy,,
good,swiggy,,
good,swiggy,,
sad,zomato,,
good,swiggy,,
good,swiggy,,
swiggy,safe,,
frustrate,swiggy,,
faster,zomato,,
good,swiggy,,
good,swiggy,,
good,disappointed,,
safe,zomato,,
zomato,safe,,
swiggy,interested,,
good,swiggy,,
appeal,great,,
bad,sad,,
great,zomato,,
good,bad,,
swiggy,advantage,,
good,swiggy,,
bad,swiggy,,
zomato,bad,,
zomato,bad,,
crap,swiggy,,
good,swiggy,,
satisfy,swiggy,,
swiggy,safe,,
zomato,hurt,,
swiggy,bad,,
good,zomato,,
great,good,zomato,
nice,swiggy,,
good,disappointed,,
good,swiggy,,
swiggy,good,,
advantage,cheap,,
swiggy,safety,,
good,bad,,
sad,zomato,,
zomato,bad,cheap,
swiggy,eas,,
excite,swiggy,,
happy,swiggy,safety,satisfied
sad,swiggy,,
swiggy,crazy,,
swiggy,good,,
swiggy,delay,,
advantage,bad,,
zomato,safety,,
disappointed,zomato,advantage,
zomato,delayed,,
swiggy,good,,
zomato,safe,,
swiggy,safe,,
bad,zomato,,
zomato,bad,,
zomato,safe,,
swiggy,good,,
swiggy,great,,
swiggy,ease,,
zomato,bad,,
safety,swiggy,,
happy,swiggy,,
zomato,good,,
zomato,bad,,
stupid,zomato,,
advantage,zomato,,
disappointed,swiggy,,
swiggy,stupid,,
zomato,good,,
zomato,bad,,
bad,zomato,,
bad,zomato,,
bad,zomato,,
bad,zomato,,
bad,zomato,,
bad,zomato,,
bad,zomato,,
bad,zomato,,
bad,zomato,,
bad,zomato,,
bad,zomato,,
bad,zomato,,
zomato,safe,,
swiggy,good,,
swiggy,quiet,,
zomato,bad,,
great,bad,,
zomato,fast,,
safe,swiggy,,
safe,swiggy,,
swiggy,bad,,
great,swiggy,,
zomato,advantage,,
bore,swiggy,,
swiggy,safe,,
swiggy,ease,,
zomato,bad,,
disgust,swiggy,,
swiggy,advantage,,
bad,zomato,,
bad,zomato,,
great,good,,
swiggy,advantage,,
happy,safe,swiggy,
good,swiggy,,
swiggy,interested,,
swiggy,easy,,
swiggy,satisfy,,
swiggy,great,,
glad,swiggy,,
delayed,awful,,
bad,swiggy,,
happy,swiggy,,
zomato,disappointed,,
good,swiggy,,
zomato,good,happy,
happy,swiggy,,
boring,zomato,,
